PRICE,KM,MODEL,XDRIVE,LINE,IN_COLOUR,EX_COLOUR
45900,90,328I,1,Modern,Black,White
45900,10161,328I,1,Luxury,Black,White
41900,90,320I,1,Modern,Black,Grey
40900,90,320I,1,Modern,Black,Grey
41500,9037,320I,1,Modern,Black,Grey
39927,13300,320I,1,Sport,Red,Black
39052,7138,320I,1,Modern,Black,Grey
32588,25270,320I,1,Basic,Black,White
33998,29500,328I,1,Luxury,Black,White
43900,90,328I,1,Modern,Black,White
42995,17000,335I,1,Basic,Red,White
32900,10241,320I,1,Basic,Black,Silver
32995,40109,328I,1,Luxury,Black,Grey
40800,8266,320I,1,Sport,Black,Silver
43987,2020,320I,1,Sport,Black,Black
33800,41166,328I,1,Luxury,Black,Black
44900,201,328I,1,Modern,Black,Black
42900,800,328I,1,Modern,Black,Black
42900,3631,328I,1,Modern,Black,Black
43987,17,320I,1,Modern,Black,White
44987,3062,328I,1,Modern,Black,Black
38900,12000,328I,1,Luxury,Black,White
41500,3986,320I,1,Modern,Black,White
39500,3166,328I,1,Luxury,Black,White
32798,41890,328I,1,Luxury,Black,Grey
32798,44395,328I,1,Luxury,Black,Black
43500,37011,328I,1,Sport,Black,Black
34998,39870,328I,1,Luxury,Black,White
39052,7138,320I,1,Modern,Black,Grey
35995,18900,320I,1,Modern,Beige,Grey
34900,16895,320I,1,Modern,Black,Black
34899,32007,328I,1,Luxury,Black,Black
35000,34394,328I,1,Luxury,Black,White
60900,22000,335I,1,Basic,Black,Black
37799,1173,320I,0,Modern,Black,Black
39999,1895,328I,1,Sport,Black,Grey
33998,29500,328I,1,Luxury,Black,White
49809,5861,320I,1,Luxury,Black,White
36999,36000,328I,1,Luxury,Black,Black
64299,6943,335I,1,Basic,Black,Red
46960,11515,320I,1,Modern,Black,Black
53942,13876,328I,1,Luxury,Black,White
46445,15750,328I,1,Sport,Red,White
29995,35000,320I,1,Modern,Beige,White
29999,13898,328I,0,Basic,Beige,White
29999,14847,328I,0,Basic,Black,Silver
33995,46922,328I,1,Luxury,Black,White
40000,4231,328I,0,Modern,Black,Black
35000,5200,320I,0,Basic,Black,White
36000,4500,320I,0,Basic,Black,Grey
59900,13885,335I,1,Basic,Black,Red
51900,15499,335I,1,Basic,Black,Grey
64299,6943,335I,1,Basic,Black,Red
